Estimate,Std. Error,df,t value,Pr(>|t|),Std_Coefficient,CI_low,CI_high,std_SE,var,between_var,within_var,between_var_std,within_var_std,n_group,n_all,vpc,type,x,y,m,model_spe,factor_no,intervention_no,moderation_no,ame_no,SE_no,z_no,p_no,lower_no,upper_no,factor_yes,intervention_yes,moderation_yes,ame_yes,SE_yes,z_yes,p_yes,lower_yes,upper_yes
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,prepost_b_daPost,C+M,Yes,0.005872297,0.012061725,0.486853852,0.626361904,-0.017768249,0.029512843
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,licensed,moderation,,,,,,,,,,prepost_b_daPost,MO,Yes,0.034086905,0.014519007,2.347743559,0.01888752,0.005630174,0.062543635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,
0.681029324,0.021329121,42.7485018,31.92955402,1.86E-31,-0.11361581,-0.20793282,-0.019298799,0.048121455,(Intercept),0.008054613,0.003883252,0.089747496,0.062315745,1863,164855,0.674711342,comment|video|creator,treatment,cm_knowledge_bi,coaching,moderation,,,,,,,,,,,,,,,,,,
0.012678629,0.028154302,43.90562291,0.450326522,0.654690891,0.028604231,-0.095893601,0.153102064,0.063520003,interventionC+M,0.008054613,0.003883252,0.089747496,0.062315745,1863,164855,0.674711342,comment|video|creator,treatment,cm_knowledge_bi,coaching,moderation,,,,,,,,,,,,,,,,,,
-0.020042075,0.031551426,47.07579634,-0.635219291,0.528361099,-0.045217439,-0.184737254,0.094302375,0.071184364,interventionMO,0.008054613,0.003883252,0.089747496,0.062315745,1863,164855,0.674711342,comment|video|creator,treatment,cm_knowledge_bi,coaching,moderation,,,,,,,,,,,,,,,,,,
-0.02150445,0.013134985,1452.854363,-1.637188749,0.101807599,-0.04851668,-0.10659887,0.00956551,0.029634097,prepost_b_daPost,0.008054613,0.003883252,0.089747496,0.062315745,1863,164855,0.674711342,comment|video|creator,treatment,cm_knowledge_bi,coaching,moderation,,,,,,,,,,,,,,,,,,
-0.032980188,0.065272866,47.65526664,-0.505266431,0.615700644,-0.074408269,-0.363043643,0.214227105,0.147264571,moderationYes,0.008054613,0.003883252,0.089747496,0.062315745,1863,164855,0.674711342,comment|video|creator,treatment,cm_knowledge_bi,coaching,moderation,,,,,,,,,,,,,,,,,,
0.019203111,0.017175267,1494.942344,1.118067682,0.263717724,0.043324645,-0.032623451,0.119272742,0.038749456,interventionC+M:prepost_b_daPost,0.008054613,0.003883252,0.089747496,0.062315745,1863,164855,0.674711342,comment|video|creator,treatment,cm_knowledge_bi,coaching,moderation,,,,,,,,,,,,,,,,,,
0.056576082,0.019563828,1439.812072,2.891871777,0.003887061,0.127642542,0.04113236,0.214152724,0.044138335,interventionMO:prepost_b_daPost,0.008054613,0.003883252,0.089747496,0.062315745,1863,164855,0.674711342,comment|video|creator,treatment,cm_knowledge_bi,coaching,moderation,,,,,,,,,,,,,,,,,,
-0.032052999,0.089399099,53.89936733,-0.358538279,0.721341081,-0.072313871,-0.467634793,0.323007051,0.201696573,interventionC+M:moderationYes,0.008054613,0.003883252,0.089747496,0.062315745,1863,164855,0.674711342,comment|video|creator,treatment,cm_knowledge_bi,coaching,moderation,,,,,,,,,,,,,,,,,,
0.173164415,0.093698971,32.85974279,1.848093022,0.073606446,0.390680974,-0.023654779,0.805016728,0.211398125,interventionMO:moderationYes,0.008054613,0.003883252,0.089747496,0.062315745,1863,164855,0.674711342,comment|video|creator,treatment,cm_knowledge_bi,coaching,moderation,,,,,,,,,,,,,,,,,,
0.022382803,0.040162132,1927.238916,0.557311127,0.577379593,0.050498135,-0.127096636,0.228092906,0.090610577,prepost_b_daPost:moderationYes,0.008054613,0.003883252,0.089747496,0.062315745,1863,164855,0.674711342,comment|video|creator,treatment,cm_knowledge_bi,coaching,moderation,,,,,,,,,,,,,,,,,,
0.017852394,0.077052532,1708.645779,0.231691208,0.816805604,0.040276874,-0.300445375,0.380999122,0.1738398,interventionC+M:prepost_b_daPost:moderationYes,0.008054613,0.003883252,0.089747496,0.062315745,1863,164855,0.674711342,comment|video|creator,treatment,cm_knowledge_bi,coaching,moderation,,,,,,,,,,,,,,,,,,
